old_code,new_code,draw_date,old_result,new_result,old_source,new_source,old_id,new_id
chinapools,china,2026-06-10,1791,1791,csv-import,manual-date-range,e450ffeb-ceaa-4881-aab1-b989369154b3,819eb5c7-7d97-4a35-baed-7863c4c99692
chinapools,china,2026-06-09,7937,7937,csv-import,manual-date-range,0e1d47a2-068d-430f-8ce7-4ee15af83f91,d4b9973d-a6f3-4e09-9116-d564ee40d06f
chinapools,china,2026-06-08,9716,9716,csv-import,manual-date-range,14764602-08be-449a-b4ca-968cd964a9bf,f5f4bf4c-141d-477a-967c-d49780cfd7c3
chinapools,china,2026-06-07,3018,3018,csv-import,manual-date-range,34aa6c06-ffb4-4cee-80b4-c5097ba4c10e,fbd04afc-38b6-442e-893c-90449f7725b5
chinapools,china,2026-06-06,1766,1766,csv-import,manual-date-range,60dec058-7aa7-49ec-b42d-e3b9747a2489,b3057f8d-a2e7-44a2-afea-f4f24d194c56
chinapools,china,2026-06-05,4808,4808,csv-import,manual-date-range,7a5032dd-3158-4905-90f1-afce62f7ab31,65539fe6-3397-4746-aa47-c1d9913261a0
chinapools,china,2026-06-04,7782,7782,csv-import,manual-date-range,ef57e0e4-73e4-4576-90b8-2ba98f3a491b,8e668dd5-8887-4b59-9735-f514e5020d24
chinapools,china,2026-06-03,4721,4721,csv-import,manual-date-range,20e6369e-9e7f-4641-9fca-8614fe313ad9,eaeb4262-c88e-4272-8e7c-dbf16463b402
chinapools,china,2026-06-02,4956,4956,csv-import,manual-date-range,9b637dab-512b-41af-ada7-f528f94ab454,80e77688-e8d1-4b61-91ca-8813b076c116
chinapools,china,2026-06-01,8114,8114,csv-import,manual-date-range,6c04a094-9cbb-415b-ba51-efc6f83cfd7f,b13e2ba0-1324-4c55-8b70-0343965841f1
chinapools,china,2026-05-31,1157,1157,csv-import,manual-date-range,18eadd36-3d40-4ee0-94f4-3a52635f3ee0,8bb9bae4-1be3-49ef-b0c0-e95d30b758cb
chinapools,china,2026-05-30,9691,9691,csv-import,manual-date-range,8fa8700e-e492-40d5-a077-19597c6e47b6,75c3dcc9-486a-4760-bdaa-aff35403ac2b
chinapools,china,2026-05-29,4405,4405,csv-import,manual-date-range,0e527ace-7e36-4c2f-ae9e-2613f30cfc83,8ff7c6c3-9e0e-431e-a25b-864c5dec056b
chinapools,china,2026-05-28,7754,7754,csv-import,manual-date-range,04cdadab-76a1-4317-9f0d-d565afa0cc7a,cb72ba1a-6d6a-4ebf-b9d0-e101f37fb19e
chinapools,china,2026-05-27,2265,2265,csv-import,manual-date-range,da055573-ecf0-4030-a868-eb3d19982bb3,9b7735d7-ae6b-4bec-8e08-9b142f904d4e
chinapools,china,2026-05-26,0693,0693,csv-import,manual-date-range,4d2fd976-0b7e-4615-b7f6-a208d46ac7d3,63ec7072-a254-4d48-9037-cfecb7eddc8e
